survey_date,survey_file,survey_path,event_date,event_id,days_before,event_volume,event_alongshore_start,event_alongshore_end
2018-09-21,20180921_00590_00636_NoWaves_DelMar_beach_cliff_ground_cropped_nobeach_noveg.las,/project/group/LiDAR/LidarProcessing/LidarProcessingCliffs/results/DelMar/noveg/20180921_00590_00636_NoWaves_DelMar_beach_cliff_ground_cropped_nobeach_noveg.las,2018-10-02,0,11,612.2803362468616,1430.3984521152452,1459.41785791656
2025-03-24,20250324_00590_00636_1320_DelMar_NoWaves_beach_cliff_ground_cropped_nobeach_noveg.las,/project/group/LiDAR/LidarProcessing/LidarProcessingCliffs/results/DelMar/noveg/20250324_00590_00636_1320_DelMar_NoWaves_beach_cliff_ground_cropped_nobeach_noveg.las,2025-04-01,1,8,495.5353719153083,1508.0907120988704,1535.8068846999668
2018-09-10,20180910_00590_00622_NoWaves_DelMar_beach_cliff_ground_cropped_nobeach_noveg.las,/project/group/LiDAR/LidarProcessing/LidarProcessingCliffs/results/DelMar/noveg/20180910_00590_00622_NoWaves_DelMar_beach_cliff_ground_cropped_nobeach_noveg.las,2018-09-26,2,16,383.27270978915874,1447.433612935245,1466.7496750699356
2019-02-06,20190206_00568_00622_NoWaves_Torrey_DelMar_beach_cliff_ground_cropped_nobeach_noveg.las,/project/group/LiDAR/LidarProcessing/LidarProcessingCliffs/results/DelMar/noveg/20190206_00568_00622_NoWaves_Torrey_DelMar_beach_cliff_ground_cropped_nobeach_noveg.las,2019-02-15,3,9,346.8311586687032,1375.5735085895285,1383.4953650617972
2020-08-05,20200805_00568_00636_NoWaves_TorreyDelMar_beach_cliff_ground_cropped_nobeach_noveg.las,/project/group/LiDAR/LidarProcessing/LidarProcessingCliffs/results/DelMar/noveg/20200805_00568_00636_NoWaves_TorreyDelMar_beach_cliff_ground_cropped_nobeach_noveg.las,2020-08-20,4,15,272.56206689990853,1399.099034936633,1413.9863330298103
2017-04-11,20170411_00588_00621_NoWaves_DelMar_beach_cliff_ground_cropped_nobeach_noveg.las,/project/group/LiDAR/LidarProcessing/LidarProcessingCliffs/results/DelMar/noveg/20170411_00588_00621_NoWaves_DelMar_beach_cliff_ground_cropped_nobeach_noveg.las,2017-04-20,5,9,249.04228467182836,1453.51371524157,1479.5885489736684
2018-11-27,20181127_00568_00636_NoWaves_DelMar_beach_cliff_ground_cropped_nobeach_noveg.las,/project/group/LiDAR/LidarProcessing/LidarProcessingCliffs/results/DelMar/noveg/20181127_00568_00636_NoWaves_DelMar_beach_cliff_ground_cropped_nobeach_noveg.las,2018-12-04,6,7,229.1674309817348,1421.119060780853,1442.2346704690715
2025-06-16,20250616_00590_00636_0954_DelMar_NoWaves_beach_cliff_ground_cropped_nobeach_noveg.las,/project/group/LiDAR/LidarProcessing/LidarProcessingCliffs/results/DelMar/noveg/20250616_00590_00636_0954_DelMar_NoWaves_beach_cliff_ground_cropped_nobeach_noveg.las,2025-07-01,7,15,221.55250380760893,1741.2918322761543,1797.1649359972216
2018-07-31,20180731_00590_00622_NoWaves_DelMar_beach_cliff_ground_cropped_nobeach_noveg.las,/project/group/LiDAR/LidarProcessing/LidarProcessingCliffs/results/DelMar/noveg/20180731_00590_00622_NoWaves_DelMar_beach_cliff_ground_cropped_nobeach_noveg.las,2018-08-14,8,14,218.9129641702405,1612.5430572996847,1634.794493257068
2017-06-13,20170613_00590_00622_NoWaves_DelMar_beach_cliff_ground_cropped_nobeach_noveg.las,/project/group/LiDAR/LidarProcessing/LidarProcessingCliffs/results/DelMar/noveg/20170613_00590_00622_NoWaves_DelMar_beach_cliff_ground_cropped_nobeach_noveg.las,2017-06-28,9,15,170.75112399325212,1474.5223783799447,1493.2296382002532
2019-03-08,20190308_00568_00622_NoWaves_DelMar_Torrey_beach_cliff_ground_cropped_nobeach_noveg.las,/project/group/LiDAR/LidarProcessing/LidarProcessingCliffs/results/DelMar/noveg/20190308_00568_00622_NoWaves_DelMar_Torrey_beach_cliff_ground_cropped_nobeach_noveg.las,2019-03-15,10,7,157.51393432155265,1628.4765816666186,1642.980514686555
