mid_date,start_date,end_date,volume,elevation,alongshore_centroid_m,alongshore_start_m,alongshore_end_m,width,height,vol_unc,month,qc_flag
2021-07-27,2021-07-14,2021-08-09,683.7468029190445,10.944084839166775,626.0867612104465,611.497978144791,638.3469912484288,26.849013103637844,10.25,0.3382993761285885,7,construction
2018-10-03,2018-10-02,2018-10-05,612.2803362468616,18.64397845599542,1442.2250095020793,1430.3984521152452,1459.41785791656,29.01940580131486,16.0,0.4439903714589996,10,real
2025-04-04,2025-04-01,2025-04-08,495.5353719153083,18.26696745341092,1522.8389895114951,1508.0907120988704,1535.8068846999668,27.716172601096332,12.0,0.3306464217767612,4,real
2021-02-22,2021-02-08,2021-03-09,396.85957703304865,5.389125361513431,646.4021923417215,641.7282193172723,650.9725694097579,9.244350092485549,5.0,0.2732961114409871,2,construction
2018-09-29,2018-09-26,2018-10-02,383.27270978915874,19.157457452796017,1456.7924673218577,1447.433612935245,1466.7496750699356,19.316062134690583,14.0,0.3549094353745716,9,real
2021-08-26,2021-08-09,2021-09-13,351.316165151179,8.05762662733374,643.4641754681777,633.067243992351,660.9380051689222,27.87076117657125,14.25,0.345546671437808,8,construction
2019-02-17,2019-02-15,2019-02-19,346.8311586687032,18.796844863156377,1378.780455192345,1375.5735085895285,1383.4953650617972,7.921856472268701,16.75,0.3986577395034925,2,real
2020-09-03,2020-08-20,2020-09-18,272.56206689990853,18.268996676351065,1406.0880445866749,1399.099034936633,1413.9863330298103,14.887298093177378,17.75,0.3440332871548611,9,real
2021-02-22,2021-02-08,2021-03-09,271.8741156409164,15.85780992469201,643.6293275184762,638.6539219417609,646.6063957219012,7.952473780140281,8.25,0.2249531308700204,2,construction
2021-08-26,2021-08-09,2021-09-13,266.9088988867926,9.515908920718084,629.6860450292094,617.8818208561279,637.6084912498482,19.72667039372027,8.75,0.2485471667365579,8,construction
2017-05-03,2017-04-20,2017-05-17,249.04228467182836,17.34014446340025,1467.901856227721,1453.51371524157,1479.5885489736684,26.07483373209834,13.75,0.4297908428171979,5,real
2018-12-07,2018-12-04,2018-12-10,229.1674309817348,20.751607847609986,1431.2865705290374,1421.119060780853,1442.2346704690715,21.115609688218683,9.25,0.2844463251557466,12,real
2025-07-06,2025-07-01,2025-07-11,221.55250380760893,9.308444167569844,1767.1975756002964,1741.2918322761543,1797.1649359972216,55.87310372106731,9.75,0.4265217081797114,7,real
2018-08-19,2018-08-14,2018-08-24,218.9129641702405,17.362439119199404,1625.3404253306228,1612.5430572996847,1634.794493257068,22.251435957383364,10.0,0.2210625968794561,8,real
2021-03-30,2021-03-09,2021-04-21,179.15475992892462,5.820471286077469,645.8487004476751,638.6539219417609,650.9725694097579,12.318647467996923,5.5,0.2181619241751342,3,construction
2017-07-05,2017-06-28,2017-07-13,170.75112399325212,17.026713917953145,1483.4530924184871,1474.5223783799447,1493.2296382002532,18.707259820308536,15.25,0.2423304974703133,7,real
2025-08-01,2025-07-28,2025-08-05,169.4546935281117,7.265028784252331,2047.767726093426,2011.9973481362688,2074.2274317536503,62.23008361738175,6.25,0.2966976259474462,8,construction
2019-03-18,2019-03-15,2019-03-21,157.51393432155265,16.876024666873796,1636.7799134588488,1628.4765816666186,1642.980514686555,14.503933019936085,11.75,0.2344486434532602,3,real
